annee,presentations,resultats,points,chiens,taux_resultat,score_moyen_presentation
2014,4757,842,47326,563,0.1770023123817532,9.948707168383434
2015,8231,1478,84270,778,0.17956505892358157,10.238124164743045
2016,7471,1259,71732,635,0.1685182706464998,9.601392049257127
2017,6982,1080,61664,589,0.15468347178458894,8.831853337152678
2018,6852,1134,66080,672,0.16549912434325745,9.643899591360187
2019,6814,1223,71309,592,0.17948341649545055,10.46507191077194
2020,1905,302,16945,393,0.15853018372703412,8.89501312335958
2021,5228,868,49681,521,0.1660290742157613,9.502869166029074
2022,7132,1031,59264,568,0.14455973079080203,8.30959057767807
2023,6692,1108,62497,588,0.16557083084279736,9.339061566049013
2024,6771,1083,61789,620,0.1599468320779796,9.12553537143701
2025,6831,982,56349,599,0.14375640462596984,8.24901185770751
